遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,112000027,2023/02/01,1995450,39909,887000,02,03,05,08,09,10,11,16,18,21,23,24
雙贏彩,112000028,2023/02/02,1886900,37738,1180200,03,06,07,08,10,12,15,16,17,19,23,24
雙贏彩,112000029,2023/02/03,1977250,39545,374200,02,04,05,06,07,08,09,14,17,21,22,24
雙贏彩,112000030,2023/02/04,2044350,40887,718500,02,07,09,13,14,15,16,19,20,22,23,24
雙贏彩,112000031,2023/02/06,2193650,43873,1012900,01,06,07,09,10,12,15,17,18,21,22,24
雙贏彩,112000032,2023/02/07,1989700,39794,409000,02,03,05,06,11,12,16,17,18,20,22,23
雙贏彩,112000033,2023/02/08,2492800,49856,562400,04,06,07,09,11,12,14,15,18,19,21,23
雙贏彩,112000034,2023/02/09,2059050,41181,599400,01,03,04,09,10,11,13,14,15,16,20,24
雙贏彩,112000035,2023/02/10,2042950,40859,587300,02,05,07,10,12,13,14,16,17,20,22,23
雙贏彩,112000036,2023/02/11,2414000,48280,841200,01,02,04,08,10,11,14,15,19,21,22,23
雙贏彩,112000037,2023/02/13,2183400,43668,504000,04,07,08,10,11,13,14,16,17,19,20,24
雙贏彩,112000038,2023/02/14,1839500,36790,787000,02,03,08,10,12,13,15,17,18,21,22,23
雙贏彩,112000039,2023/02/15,2293950,45879,316800,02,03,05,06,07,09,10,13,14,15,17,23
雙贏彩,112000040,2023/02/16,1927900,38558,374700,02,03,07,10,11,12,14,15,17,18,19,24
雙贏彩,112000041,2023/02/17,1916500,38330,601600,02,04,08,09,12,13,14,15,16,18,20,21
雙贏彩,112000042,2023/02/18,2446200,48924,664100,05,06,09,11,13,14,15,18,19,20,23,24
雙贏彩,112000043,2023/02/20,2098300,41966,787500,05,08,09,10,11,14,16,17,19,21,22,24
雙贏彩,112000044,2023/02/21,1843900,36878,1088200,01,04,05,08,10,11,12,13,14,17,20,21
雙贏彩,112000045,2023/02/22,2224100,44482,1141900,02,03,05,07,08,09,11,15,18,20,22,24
雙贏彩,112000046,2023/02/23,1941600,38832,387600,01,03,04,06,07,08,09,11,16,18,21,24
雙贏彩,112000047,2023/02/24,1889650,37793,608800,01,02,04,08,09,11,12,13,15,19,21,23
雙贏彩,112000048,2023/02/25,2167300,43346,697000,01,03,04,06,07,11,12,14,15,17,18,19
雙贏彩,112000049,2023/02/27,1975200,39504,1231800,02,03,06,08,12,15,16,17,18,20,22,24
雙贏彩,112000050,2023/02/28,1772850,35457,1489600,02,03,07,10,11,12,14,15,17,18,19,22
雙贏彩,112000051,2023/03/01,2278950,45579,627900,02,03,04,05,06,07,11,13,14,19,20,21
雙贏彩,112000052,2023/03/02,1965300,39306,392200,02,03,04,09,11,13,14,15,18,21,23,24
雙贏彩,112000053,2023/03/03,1918350,38367,278800,02,05,06,08,09,10,11,12,13,14,19,24
雙贏彩,112000054,2023/03/04,2265150,45303,518100,02,04,05,06,07,12,13,14,15,18,21,24
雙贏彩,112000055,2023/03/06,2170400,43408,556200,02,04,05,06,08,11,13,15,16,17,22,24
雙贏彩,112000056,2023/03/07,1853150,37063,594700,01,02,03,05,06,08,12,14,15,16,18,19
雙贏彩,112000057,2023/03/08,2344700,46894,526800,01,03,07,08,10,11,13,14,17,18,19,21
雙贏彩,112000058,2023/03/09,1917050,38341,377000,01,02,04,10,11,12,13,14,15,17,18,20
雙贏彩,112000059,2023/03/10,1973650,39473,399700,01,04,05,08,13,15,16,17,20,22,23,24
雙贏彩,112000060,2023/03/11,2439050,48781,687600,01,02,04,05,06,07,08,09,11,13,15,18
雙贏彩,112000061,2023/03/13,2119200,42384,284600,02,04,07,09,11,12,13,14,16,17,23,24
雙贏彩,112000062,2023/03/14,1904700,38094,785000,01,02,07,08,09,10,12,16,17,18,19,22
雙贏彩,112000063,2023/03/15,2319900,46398,681600,01,02,04,06,07,08,09,11,12,13,22,24
雙贏彩,112000064,2023/03/16,1919900,38398,174400,04,05,06,07,09,10,15,17,18,19,22,23
雙贏彩,112000065,2023/03/17,1893150,37863,586200,03,04,05,07,08,10,11,12,13,15,16,21
雙贏彩,112000066,2023/03/18,2273900,45478,727300,01,02,04,05,08,09,11,13,15,18,19,24
雙贏彩,112000067,2023/03/20,2125950,42519,702400,01,02,03,05,07,08,13,14,15,16,21,22
雙贏彩,112000068,2023/03/21,1813700,36274,376700,02,03,05,07,09,10,13,14,18,20,22,24
雙贏彩,112000069,2023/03/22,2245950,44919,974200,01,02,04,06,11,12,13,15,17,18,21,23
雙贏彩,112000070,2023/03/23,1829200,36584,594400,01,02,05,07,08,09,13,14,18,21,23,24
雙贏彩,112000071,2023/03/24,1857300,37146,384400,04,06,07,08,09,10,11,12,14,19,22,23
雙贏彩,112000072,2023/03/25,2259350,45187,943700,02,05,06,08,11,13,14,15,19,20,23,24
雙贏彩,112000073,2023/03/27,1902300,38046,389800,01,04,06,08,09,11,12,14,17,20,22,24
雙贏彩,112000074,2023/03/28,1774100,35482,171700,03,04,05,10,13,16,17,18,20,21,22,24
雙贏彩,112000075,2023/03/29,2146950,42939,617300,01,04,05,07,08,11,12,14,20,21,23,24
雙贏彩,112000076,2023/03/30,1797300,35946,484300,02,03,04,05,06,10,11,12,15,17,19,24
雙贏彩,112000077,2023/03/31,1786450,35729,778500,01,02,05,06,09,10,11,12,15,16,21,22
雙贏彩,112000078,2023/04/01,2093700,41874,503000,02,03,04,06,07,13,17,18,19,20,21,22
雙贏彩,112000079,2023/04/03,1897800,37956,376900,01,04,07,09,11,15,16,17,18,20,22,23
雙贏彩,112000080,2023/04/04,1716300,34326,453900,02,03,04,07,09,11,12,13,16,19,20,21
雙贏彩,112000081,2023/04/05,2024150,40483,611200,01,07,08,09,10,15,16,18,20,22,23,24
雙贏彩,112000082,2023/04/06,1819550,36391,297300,01,06,11,13,14,15,16,18,19,20,21,24
雙贏彩,112000083,2023/04/07,1808150,36163,277400,03,05,07,10,11,12,13,15,16,17,18,20
雙贏彩,112000084,2023/04/08,2191250,43825,621500,01,03,04,06,07,13,16,19,21,22,23,24
雙贏彩,112000085,2023/04/10,2002700,40054,1061900,04,12,13,14,16,17,18,19,20,22,23,24
雙贏彩,112000086,2023/04/11,1808450,36169,464500,02,06,07,08,10,11,12,14,17,19,20,21
雙贏彩,112000087,2023/04/12,2195100,43902,395600,03,04,09,10,11,13,14,15,17,18,22,23
雙贏彩,112000088,2023/04/13,1820000,36400,872100,01,02,06,09,10,11,15,17,19,20,21,23
雙贏彩,112000089,2023/04/14,1829800,36596,271300,01,02,04,06,07,11,14,15,16,18,19,23
雙贏彩,112000090,2023/04/15,2148500,42970,604200,01,02,03,06,08,09,13,14,15,18,20,23
雙贏彩,112000091,2023/04/17,1952050,39041,598900,03,04,07,08,11,12,13,15,16,22,23,24
雙贏彩,112000092,2023/04/18,1788650,35773,690500,01,03,07,08,09,10,13,14,16,18,19,21
雙贏彩,112000093,2023/04/19,2065700,41314,1124300,01,03,07,08,10,11,13,15,16,17,18,19
雙贏彩,112000094,2023/04/20,1808050,36161,475200,03,07,08,09,10,11,14,15,17,20,21,23
雙贏彩,112000095,2023/04/21,1843850,36877,276500,01,03,04,05,08,11,12,14,19,20,21,24
雙贏彩,112000096,2023/04/22,2154950,43099,711000,01,04,05,06,09,10,11,13,14,19,20,23
雙贏彩,112000097,2023/04/24,2016350,40327,484000,02,03,04,05,08,10,11,13,16,18,21,23
雙贏彩,112000098,2023/04/25,1743650,34873,564200,01,04,07,09,12,14,15,18,19,21,23,24
雙贏彩,112000099,2023/04/26,2139400,42788,996800,05,06,10,11,12,13,14,16,17,20,23,24
雙贏彩,112000100,2023/04/27,1778800,35576,903200,02,03,06,08,10,11,13,14,17,19,21,22
雙贏彩,112000101,2023/04/28,1785850,35717,273900,02,05,07,08,09,12,14,15,18,21,23,24
雙贏彩,112000102,2023/04/29,2102800,42056,393700,01,03,04,05,06,10,12,13,14,15,19,22
雙贏彩,112000103,2023/05/01,1883050,37661,687600,02,04,05,07,09,10,11,13,15,17,18,22
雙贏彩,112000104,2023/05/02,1738400,34768,565900,02,03,04,07,08,09,10,13,20,21,22,24
雙贏彩,112000105,2023/05/03,2094000,41880,393900,03,05,08,09,10,14,15,18,20,22,23,24
雙贏彩,112000106,2023/05/04,1766450,35329,583400,01,03,05,08,13,14,15,18,19,20,21,24
雙贏彩,112000107,2023/05/05,1773700,35474,258600,07,08,09,10,12,13,14,15,17,20,21,24
雙贏彩,112000108,2023/05/06,2070800,41416,808900,02,03,06,07,08,09,12,13,14,18,23,24
雙贏彩,112000109,2023/05/08,1853250,37065,588500,01,02,06,09,10,11,12,13,20,22,23,24
雙贏彩,112000110,2023/05/09,1745550,34911,583000,02,04,07,08,11,13,14,15,16,17,18,20
雙贏彩,112000111,2023/05/10,2130850,42617,400300,06,08,10,11,15,16,18,19,21,22,23,24
雙贏彩,112000112,2023/05/11,1753100,35062,1279000,02,04,05,06,07,08,13,14,18,19,20,23
雙贏彩,112000113,2023/05/12,1773700,35474,179400,02,04,07,09,10,14,16,17,21,22,23,24
雙贏彩,112000114,2023/05/13,2098850,41977,399700,01,07,08,10,11,14,15,16,17,19,23,24
雙贏彩,112000115,2023/05/15,1913750,38275,1347900,03,05,07,09,11,13,15,19,20,21,22,23
雙贏彩,112000116,2023/05/16,1770750,35415,372000,01,04,08,09,10,12,14,15,19,20,21,23
雙贏彩,112000117,2023/05/17,2132700,42654,703100,01,05,07,09,10,13,15,16,17,19,23,24
雙贏彩,112000118,2023/05/18,1755050,35101,298800,02,06,08,10,12,13,14,16,18,19,21,23
雙贏彩,112000119,2023/05/19,1692400,33848,471100,01,03,04,06,09,10,12,13,15,18,22,23
雙贏彩,112000120,2023/05/20,2081000,41620,1162900,02,03,05,06,07,08,09,10,11,12,21,22
雙贏彩,112000121,2023/05/22,1857150,37143,376100,02,03,06,08,11,12,13,14,15,16,19,23
雙贏彩,112000122,2023/05/23,1695650,33913,655000,05,06,09,12,15,17,18,19,20,21,22,24
雙贏彩,112000123,2023/05/24,2067450,41349,709100,05,07,09,10,11,12,15,16,17,18,22,23
雙贏彩,112000124,2023/05/25,1742100,34842,1167000,01,02,07,09,10,13,14,16,17,21,23,24
雙贏彩,112000125,2023/05/26,1712850,34257,579700,01,03,04,06,08,12,13,17,20,21,22,24
雙贏彩,112000126,2023/05/27,2039750,40795,625000,02,03,05,06,08,09,12,13,16,17,20,22
雙贏彩,112000127,2023/05/29,1819350,36387,394400,02,05,07,11,13,14,15,16,18,19,22,24
雙贏彩,112000128,2023/05/30,1651600,33032,252000,02,03,04,06,07,09,10,12,13,15,16,24
雙贏彩,112000129,2023/05/31,1979300,39586,388500,02,05,10,12,14,15,16,17,19,20,21,22
雙贏彩,112000130,2023/06/01,1711950,34239,486300,03,05,07,09,10,12,14,15,17,19,20,23
雙贏彩,112000131,2023/06/02,1704200,34084,464900,01,06,07,08,11,12,14,15,18,19,21,24
雙贏彩,112000132,2023/06/03,1958850,39177,573700,01,05,07,11,12,13,14,15,16,20,22,23
雙贏彩,112000133,2023/06/05,1806800,36136,690700,02,03,06,08,12,14,15,17,19,20,21,23
雙贏彩,112000134,2023/06/06,1643900,32878,346600,02,09,10,11,12,13,16,17,19,21,22,24
雙贏彩,112000135,2023/06/07,1945600,38912,277700,01,02,03,04,07,08,09,11,14,19,21,23
雙贏彩,112000136,2023/06/08,1672750,33455,662900,02,03,04,05,07,08,10,12,17,19,22,24
雙贏彩,112000137,2023/06/09,1647950,32959,359800,04,05,08,09,10,12,13,16,19,20,22,23
雙贏彩,112000138,2023/06/10,1912750,38255,487400,01,08,09,12,15,17,18,20,21,22,23,24
雙贏彩,112000139,2023/06/12,1745900,34918,261700,01,02,03,04,06,07,09,12,15,16,23,24
雙贏彩,112000140,2023/06/13,1583250,31665,674900,02,03,04,06,07,09,10,16,21,22,23,24
雙贏彩,112000141,2023/06/14,1932500,38650,791600,02,03,04,06,10,12,13,18,19,20,23,24
雙贏彩,112000142,2023/06/15,1632050,32641,477100,02,04,08,09,13,15,18,19,20,21,22,24
雙贏彩,112000143,2023/06/16,1605800,32116,356000,01,03,08,09,11,12,14,18,19,21,22,23
雙贏彩,112000144,2023/06/17,2076600,41532,490500,01,02,04,05,08,09,11,13,16,20,21,24
雙贏彩,112000145,2023/06/19,1775400,35508,471200,03,04,06,07,09,11,16,17,19,22,23,24
雙贏彩,112000146,2023/06/20,1589350,31787,546800,01,02,03,04,05,06,07,10,14,18,19,23
雙贏彩,112000147,2023/06/21,1973550,39471,400700,01,03,07,10,12,13,14,18,19,22,23,24
雙贏彩,112000148,2023/06/22,1626550,32531,757900,03,04,06,09,12,13,14,17,18,19,21,23
雙贏彩,112000149,2023/06/23,1568700,31374,244200,03,04,05,06,10,12,13,16,19,20,22,23
雙贏彩,112000150,2023/06/24,1909100,38182,495300,01,05,08,09,14,15,16,17,18,19,20,22
雙贏彩,112000151,2023/06/26,1781550,35631,366600,04,05,06,07,10,15,16,17,18,21,23,24
雙贏彩,112000152,2023/06/27,1581350,31627,654900,01,02,04,07,08,09,10,13,15,16,22,24
雙贏彩,112000153,2023/06/28,1944300,38886,780000,04,05,06,07,08,09,10,13,19,21,23,24
雙贏彩,112000154,2023/06/29,1615400,32308,266800,01,02,04,05,06,08,11,12,13,19,23,24
雙贏彩,112000155,2023/06/30,1619100,32382,646000,01,02,05,06,07,10,12,14,15,16,20,24
